recipe-3398401506010644,b'Gebackener Feta',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,26.09.2017,http://www.chefkoch.de/rezepte/3398401506010644/Gebackener-Feta.html,yes
recipe-3400271506353973,b'Haferflockenbrot',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,26.09.2017,http://www.chefkoch.de/rezepte/3400271506353973/Haferflockenbrot.html,yes
recipe-3399901506273993,b'Bunte Leberk\xe4sreispfanne',1 Bewertung - Ø 3.33,star-3_5,(1),simpel,10 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399901506273993/Bunte-Leberkaesreispfanne.html,yes
recipe-3398911506090658,b'Eierlik\xf6r-Cheesecake-Brownies',1 Bewertung - Ø 3.33,star-3_5,(1),simpel,20 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398911506090658/Eierlikoer-Cheesecake-Brownies.html,yes
recipe-3399641506242117,b'Selbstgemachte 2-Minuten Mayonnaise',2 Bewertungen - Ø 3.75,star-4,(2),simpel,2 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399641506242117/Selbstgemachte-2-Minuten-Mayonnaise.html,yes
recipe-3400961506512510,b'S\xfc\xdfes Chili-Huhn',0 Bewertungen - Ø 2.5,star-unb,(0),normal,40 min.,27.09.2017,http://www.chefkoch.de/rezepte/3400961506512510/Suesses-Chili-Huhn.html,yes
recipe-3401621506624897,b'Avocado-Ajvar-Dip',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,29.09.2017,http://www.chefkoch.de/rezepte/3401621506624897/Avocado-Ajvar-Dip.html,yes
recipe-3401601506620954,b'Tortellonisuppe mit Bratwurstkl\xf6\xdfchen',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,29.09.2017,http://www.chefkoch.de/rezepte/3401601506620954/Tortellonisuppe-mit-Bratwurstkloesschen.html,no
recipe-3400491506415776,b'Helles Mischbrot mit dunkler Kruste',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,26.09.2017,http://www.chefkoch.de/rezepte/3400491506415776/Helles-Mischbrot-mit-dunkler-Kruste.html,yes
recipe-3400701506449653,b'Vollkornspaghetti mit K\xe4seso\xdfe',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400701506449653/Vollkornspaghetti-mit-Kaesesosse.html,yes
